,id,host_response_rate,accommodates,bathrooms,minimum_nights,availability_365,number_of_reviews,review_scores_rating,price,security_deposit,TV,Internet,Wifi,Heating,Air Conditioning,Cooking,Free Parking,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,bed_type_Airbed,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60,prpt_Apartment,prpt_Bed and breakfast,prpt_Boutique hotel,prpt_Condominium,prpt_Guest suite,prpt_House,prpt_Loft,prpt_Serviced apartment,prpt_Townhouse,prpt_others,distance_ts,price_label,rating_label,price_rating_label,group_label,predict_label
3,5099,100.0,2,1,2,18,70,88.0,185.0,300.0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.51098781507179,0,1,01,1,1
9,7036,40.0,2,1,3,365,4,100.0,65.0,200.0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.641962787498205,1,0,10,2,3
16,9518,100.0,2,1,3,335,106,83.0,44.0,0.0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,12.952331975129464,1,1,11,3,3
18,9783,96.0,2,1,3,327,259,88.0,50.0,0.0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.440758856363738,1,1,11,3,3
21,12192,100.0,2,1,2,48,237,87.0,68.0,100.0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.011583149393897,1,1,11,3,3
34,15396,100.0,4,2,180,179,5,100.0,375.0,1000.0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.650161702053098,0,0,00,0,0
36,16421,100.0,1,1,30,243,189,89.0,52.0,1500.0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.5223931534502116,1,1,11,3,1
46,18152,100.0,2,1,1,348,129,87.0,200.0,0.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3.1028394390981555,0,1,01,1,1
50,19169,100.0,4,1,5,253,67,87.0,285.0,500.0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.502680066847068,0,1,01,1,1
64,23686,100.0,5,2,4,231,42,89.0,500.0,700.0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.460434444726129,0,1,01,1,1
75,27006,100.0,4,1,6,98,26,91.0,235.0,500.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.271653885071473,0,1,01,1,1
88,32100,90.0,5,1,29,63,3,100.0,275.0,0.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.8348557113583928,0,0,00,0,0
89,32289,100.0,3,1,3,277,10,100.0,199.0,1000.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.723477620982704,0,0,00,0,0
93,33014,100.0,3,1,3,160,28,87.0,195.0,350.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.9360226806107814,0,1,01,1,1
96,34760,100.0,2,2,5,317,19,100.0,44.0,250.0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7.616228413792164,1,0,10,2,3
106,39586,100.0,5,1,1,356,180,91.0,250.0,0.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.309627666811314,0,1,01,1,1
